gene,SNPs,hits,Z,top_candidate_p,Z_pVal
16139,24,0,1.443397678260632,1.0,0.3907462822993508
16140,86,0,3.779481589909972,1.0,0.2366786321473362
16141,27,1,1.6916520951589347,0.23765728565289646,0.33758891117625656
16142,34,0,2.023246174264778,1.0,0.3048368500753891
16143,34,1,2.778932988414142,0.2894467727277079,0.11981350866748386
16144,1,0,-0.2559912904412747,1.0,0.8003019138629248
16145,1,0,,1.0,
16146,20,0,1.7367557734857368,1.0,0.24216351176908146
16147,15,2,4.211439117276615,0.009629773443364747,0.0002466485862669954
16148,15,0,0.0810504622544617,1.0,0.7981419434064521
16149,39,1,3.6822893846598084,0.3242709509397169,0.03748815896650326
16150,11,0,0.3436891669158661,1.0,0.6727169577221754
16151,57,0,2.36474670597873,1.0,0.4056699135648737
16152,61,0,3.1597372674993687,1.0,0.22688043064138808
16153,7,0,1.239254917560528,1.0,0.24108985441173159
16154,1,0,0.8425103860977468,1.0,0.3040686218775944
16155,25,0,1.6477854354042984,1.0,0.32969786197490714
16156,89,1,4.918119468790394,0.5911798255774507,0.07895411805798269
16157,56,1,2.0461854408656115,0.4303987975228408,0.4932847161992634
16158,1,0,,1.0,
16159,1,0,,1.0,
16160,1,0,-1.00087622748886,1.0,0.9609492138563926
16161,1,0,1.5356595980266956,1.0,0.0856549873881276
16162,1,0,0.4010924372691726,1.0,0.5127355142128232
16163,34,0,0.19044385902795935,1.0,0.8650381792571784
16164,8,0,0.29660781046841195,1.0,0.6581865203677227
16165,54,0,2.792724765333112,1.0,0.2648040872285642
16166,77,0,1.2978593494265231,1.0,0.7953995647831794
16167,30,0,2.8922172798025256,1.0,0.0776539920861068
16168,49,0,2.071977076662607,1.0,0.42949725829682694
16169,74,0,2.1126694813082687,1.0,0.5900003320005391
16170,34,0,1.5323694367717402,1.0,0.4687853284502653
16171,23,0,2.3364292645927374,1.0,0.12057759872960372
16172,57,0,0.5057545491087932,1.0,0.8779319756980806
16173,13,0,0.9529596682043511,1.0,0.4421750595733879
16174,90,0,0.5956304347261596,1.0,0.920690351265649
16175,33,0,1.05149769898043,1.0,0.626559952824755
16176,41,0,1.1540514168201346,1.0,0.6566273997289386
16177,21,0,0.7199467739200105,1.0,0.6325998248822315
16178,61,0,2.144635213365955,1.0,0.5001496212323246
16179,21,0,0.42674961618205576,1.0,0.7348508100479796
16180,22,0,1.7056414910839672,1.0,0.27531622055502314
16181,23,0,1.5832087766379617,1.0,0.32854595754528415
16182,1,0,,1.0,
16183,1,0,2.0365279519340107,1.0,0.023515271331660648
16184,1,0,1.9073848362751562,1.0,0.03387423706849502
16185,1,0,0.11187762605456625,1.0,0.6512838711405148
16186,1,0,-0.27021231316623473,1.0,0.8051736498297914
16187,1,0,,1.0,
16188,1,0,,1.0,
16189,17,1,2.057996519814742,0.15705680661607327,0.1263773136844999
16190,13,0,1.4736109154948096,1.0,0.24145326505861298
16191,1,0,,1.0,
16192,51,0,-0.16136227353580948,1.0,0.9464810387548102
16193,136,2,3.02797894424775,0.3949111741047201,0.6028635669621515
16194,144,2,4.1564156186302705,0.4226500918644475,0.36940523848525664
16195,124,2,2.449533510426186,0.3522106576887805,0.6975164539954206
16196,15,0,1.9987872373194864,1.0,0.12090410228738135
16197,99,2,2.9557917452453983,0.26054072470054684,0.4947026581975831
16198,95,3,6.030956413135417,0.07041372477423954,0.021701072119753806
16199,64,4,3.372299802903206,0.003943523776313496,0.2003315767185525
16200,51,0,2.366199274356695,1.0,0.35734310558465554
16201,50,1,1.5951947379989477,0.39499393286246365,0.5866599544360533
16202,1,0,0.09374265768102663,1.0,0.6595244441493315
16203,44,0,1.7570084946904512,1.0,0.48692017705803703
16204,51,0,2.5498119298096165,1.0,0.3053048815335071
16205,102,1,2.9819850376815538,0.6412517023181081,0.5012853659602772
16206,58,0,1.9365822096767333,1.0,0.5407668214538695
16207,117,0,1.2216447370223023,1.0,0.8850119323866541
16208,68,1,2.903927929626771,0.49511411121293036,0.3356147563356652
16209,46,2,3.463276721365269,0.07753104520738682,0.08568744531211081
16210,16,0,1.3114853210397024,1.0,0.33912344015013807
16211,127,0,3.323437470688953,1.0,0.510465028767958
16212,97,0,2.086681469994898,1.0,0.6964890383996429
16213,43,0,1.7269206818820309,1.0,0.48796628178263324
16214,175,0,4.294199719794821,1.0,0.3961936433768737
16215,88,0,3.2742643292140796,1.0,0.3610188639608025
